學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生小計,外國學生數男,外國學生女,外國學生數之在學比率(%)
114,私立,一般大學,1014,義守大學,02111001,電影與電視學系,學士班(日間),10,0,10,5.65
114,私立,一般大學,1014,義守大學,02122067,傳播與設計學院文創傳播與設計碩士班,碩士班(日間),2,0,2,12.50
114,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理英語學士學位學程,學士班(日間),10,1,9,100.00
114,私立,一般大學,1014,義守大學,02122068,國際傳媒與娛樂管理學系,學士班(日間),54,12,42,79.41
114,私立,一般大學,1014,義守大學,02122073,創意整合設計學系,學士班(日間),1,0,1,1.37
114,私立,一般大學,1014,義守大學,02122075,新媒體設計學系,學士班(日間),8,6,2,9.52
114,私立,一般大學,1014,義守大學,02311003,應用日語學系,學士班(日間),4,1,3,2.01
114,私立,一般大學,1014,義守大學,02311074,國際溝通暨應用英語學系,學士班(日間),23,6,17,27.06
114,私立,一般大學,1014,義守大學,03211008,大眾傳播學系,學士班(日間),17,2,15,9.71
114,私立,一般大學,1014,義守大學,04111009,會計學系,學士班(日間),2,1,1,1.50
114,私立,一般大學,1014,義守大學,04121017,國際財務金融學系,學士班(日間),8,5,3,47.06
114,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,學士班(日間),4,2,2,1.71
114,私立,一般大學,1014,義守大學,04121066,財務金融管理學系,碩士班(日間),2,0,2,14.29
114,私立,一般大學,1014,義守大學,04121084,財務與商業分析英語學士學位學程,學士班(日間),33,16,17,80.49
114,私立,一般大學,1014,義守大學,04131010,企業管理學系,學士班(日間),37,12,25,21.02
114,私立,一般大學,1014,義守大學,04131010,企業管理學系,碩士班(日間),18,5,13,60.00
114,私立,一般大學,1014,義守大學,04131012,管理學院管理博士班,博士班,6,4,2,20.00
114,私立,一般大學,1014,義守大學,04131013,國際企業經營英語學士學位學程,學士班(日間),76,38,38,91.57
114,私立,一般大學,1014,義守大學,04131013,國際企業經營學系,學士班(日間),35,16,19,94.59
114,私立,一般大學,1014,義守大學,04131015,國際商務學系,學士班(日間),34,14,20,23.45
114,私立,一般大學,1014,義守大學,04131019,工業管理學系,學士班(日間),1,0,1,2.27
114,私立,一般大學,1014,義守大學,04131080,國際學院國際管理碩士班,碩士班(日間),45,13,32,100.00
114,私立,一般大學,1014,義守大學,04134007,公共政策與管理學系,學士班(日間),1,0,1,1.89
114,私立,一般大學,1014,義守大學,05191044,營養學系,學士班(日間),2,0,2,0.93
114,私立,一般大學,1014,義守大學,06131024,資訊管理學系,學士班(日間),57,27,30,23.75
114,私立,一般大學,1014,義守大學,06131027,資訊工程學系,學士班(日間),55,34,21,10.19
114,私立,一般大學,1014,義守大學,06131069,智慧網路科技學系,學士班(日間),1,1,0,1.96
114,私立,一般大學,1014,義守大學,07111033,化學工程學系,學士班(日間),2,2,0,0.88
114,私立,一般大學,1014,義守大學,07112034,材料科學與工程學系,學士班(日間),5,4,1,1.70
114,私立,一般大學,1014,義守大學,07141025,電機工程學系,學士班(日間),12,11,1,2.17
114,私立,一般大學,1014,義守大學,07141025,電機工程學系113春季班設備工程專班,學士班(日間),5,4,1,100.00
114,私立,一般大學,1014,義守大學,07141025,電機工程學系114秋季班設備工程專班,學士班(日間),4,4,0,100.00
114,私立,一般大學,1014,義守大學,07141025,電機工程學系學士後二年制設備工程專班,學士班(日間),7,3,4,100.00
114,私立,一般大學,1014,義守大學,07141026,電子工程學系,學士班(日間),11,10,1,4.47
114,私立,一般大學,1014,義守大學,07141072,智慧科技英語學士學位學程,學士班(日間),89,60,29,84.76
114,私立,一般大學,1014,義守大學,07151030,機械與自動化工程學系,學士班(日間),38,34,4,15.32
114,私立,一般大學,1014,義守大學,07193037,生物醫學工程學系,學士班(日間),5,1,4,1.75
114,私立,一般大學,1014,義守大學,07321031,土木工程學系,學士班(日間),3,2,1,1.83
114,私立,一般大學,1014,義守大學,09121011,學士後醫學系外國學生專班,學士班(日間),28,7,21,100.00
114,私立,一般大學,1014,義守大學,09121040,學士後中醫學系,學士班(日間),1,1,0,0.40
114,私立,一般大學,1014,義守大學,09131046,護理學系,學士班(日間),1,0,1,0.26
114,私立,一般大學,1014,義守大學,09151042,物理治療學系,學士班(日間),1,0,1,0.25
114,私立,一般大學,1014,義守大學,10131051,餐旅管理學系,學士班(日間),202,35,167,58.72
114,私立,一般大學,1014,義守大學,10131077,廚藝暨美食學學系,學士班(日間),61,18,43,26.87
114,私立,一般大學,1014,義守大學,10151055,國際觀光餐旅學系,學士班(日間),27,8,19,84.38
114,私立,一般大學,1014,義守大學,10151078,觀光智慧服務與科技學系,學士班(日間),23,5,18,32.86
114,私立,一般大學,1014,義守大學,10151082,智慧觀光餐旅管理英語學士學位學程,學士班(日間),52,21,31,89.66
114,私立,一般大學,1014,義守大學,10152076,運動科技與休閒管理學系,學士班(日間),5,4,1,8.33
